"","Survey","meansecchi","sdsecchi","mediansecchi","N","Percentabove100"
"1",1,120.747807017544,54.2474590037826,115,459,0.581699346405229
"2",2,108.532066508314,50.2673996670885,100,424,0.476415094339623
"3",3,118.429501084599,42.5620508348961,112,461,0.605206073752712
"4",4,117.673202614379,45.2733806611504,106,459,0.562091503267974
"5",5,111.126666666667,43.2875036618415,101,453,0.496688741721854
"6",6,111.462203023758,43.0016381584896,107,463,0.533477321814255
"7",7,118.171111111111,38.6133198928842,114,453,0.602649006622517
"8",8,115.873085339168,37.2412311281765,110,457,0.588621444201313
"9",9,116.039387308534,40.1279010818884,113,457,0.612691466083151
