"","Survey","meansecchi","sdsecchi","mediansecchi","N"
"1",1,120.747807017544,54.2474590037826,115,459
"2",2,108.532066508314,50.2673996670885,100,424
"3",3,118.429501084599,42.5620508348961,112,461
"4",4,117.673202614379,45.2733806611504,106,459
"5",5,111.126666666667,43.2875036618415,101,453
"6",6,111.462203023758,43.0016381584896,107,463
"7",7,118.171111111111,38.6133198928842,114,453
"8",8,115.873085339168,37.2412311281765,110,457
"9",9,116.039387308534,40.1279010818884,113,457
